seed	H	W	C
3219	26	81	3
3220	58	77	4
3221	92	67	2
3222	12	48	2
3223	13	50	3
3224	85	98	3
3225	81	36	2
3226	24	66	3
3227	62	35	4
3228	42	75	2
3229	78	81	6
3230	14	39	6
3231	16	41	5
3232	38	27	3
3233	67	14	6
3234	48	67	3
3235	72	59	6
3236	38	34	2
3237	24	58	5
3238	67	14	5
3239	44	42	2
3240	88	37	4
3241	42	37	2
3242	75	64	6
3243	59	88	4
3244	86	86	5
3245	16	78	2
3246	30	61	4
3247	48	61	5
3248	94	14	3
3249	11	92	4
3250	21	38	2
3251	32	83	4
3252	23	72	3
3253	97	66	4
3254	87	50	2
3255	55	16	6
3256	32	41	6
3257	27	74	4
3258	35	74	2
3259	11	36	3
3260	56	54	6
3261	84	91	6
3262	52	62	2
3263	94	46	4
3264	16	73	2
3265	93	58	3
3266	73	56	4
3267	54	81	2
3268	39	20	6
3269	99	98	4
3270	66	11	3
3271	28	29	6
3272	100	49	3
3273	80	79	6
3274	24	73	2
3275	34	28	5
3276	22	67	4
3277	15	54	2
3278	58	45	6
3279	88	59	3
3280	39	44	2
3281	15	14	6
3282	100	45	2
3283	82	23	5
3284	65	16	2
3285	25	90	2
3286	48	57	3
3287	41	28	4
3288	92	88	5
3289	43	62	4
3290	24	38	3
3291	45	42	4
3292	63	72	5
3293	20	59	4
3294	77	20	6
3295	41	78	6
3296	82	93	4
3297	24	35	4
3298	48	92	6
3299	79	60	4
3300	87	98	4
3301	90	86	5
3302	29	14	3
3303	73	10	4
3304	29	90	2
3305	50	55	6
3306	56	59	3
3307	28	23	6
3308	80	36	4
3309	93	24	5
3310	55	26	3
3311	56	86	3
3312	56	65	4
3313	74	38	4
3314	30	38	5
3315	78	50	6
3316	50	100	6
3317	11	70	4
3318	30	27	5
3319	66	95	3
3320	98	73	3
3321	22	95	2
3322	81	16	6
3323	68	91	4
3324	55	56	4
3325	45	48	5
3326	10	74	3
3327	85	94	5
3328	71	58	5
3329	68	58	6
3330	71	14	4
3331	71	52	4
3332	48	89	2
3333	29	100	4
3334	32	34	6
3335	82	63	3
3336	30	42	4
3337	74	55	5
3338	12	49	4
3339	14	91	5
3340	46	26	3
3341	84	57	3
3342	51	70	4
3343	14	15	4
3344	13	84	4
3345	96	91	4
3346	72	98	5
3347	22	13	4
3348	87	32	6
3349	88	77	5
3350	30	11	5
3351	50	40	6
3352	36	79	3
3353	66	38	2
3354	92	44	3
3355	81	72	3
3356	28	60	4
3357	30	66	4
3358	52	21	4
3359	50	79	2
3360	39	34	3
3361	30	22	2
3362	25	28	6
3363	68	57	2
3364	96	80	4
3365	52	21	2
3366	16	84	4
3367	88	53	2
3368	28	37	5
3369	80	84	3
3370	64	14	3
3371	20	47	5
3372	86	25	3
3373	42	82	3
3374	76	40	4
3375	94	71	6
3376	16	58	6
3377	58	60	2
3378	70	96	6
3379	28	29	5
3380	21	36	4
3381	28	45	2
3382	44	22	2
3383	23	36	3
3384	60	57	6
3385	70	85	6
3386	64	74	2
3387	41	74	4
3388	92	95	5
3389	56	34	2
3390	46	55	4
3391	75	12	5
3392	47	34	4
3393	11	80	4
3394	78	79	3
3395	71	80	4
3396	37	90	5
3397	52	41	6
3398	16	32	3
3399	82	25	4
3400	10	56	4
3401	26	73	6
3402	47	86	2
3403	100	91	6
3404	42	83	5
3405	88	71	2
3406	14	55	2
3407	15	64	2
3408	74	59	3
3409	14	35	5
3410	26	28	2
3411	28	50	4
3412	92	63	3
3413	22	14	2
3414	80	90	3
3415	32	68	5
3416	27	12	4
3417	79	94	6
3418	86	25	4
3419	10	83	5
3420	54	65	2
3421	16	88	6
3422	68	64	3
3423	14	26	2
3424	96	82	5
3425	68	45	4
3426	52	53	3
3427	30	52	6
3428	28	23	4
3429	63	84	4
3430	29	22	5
3431	82	78	5
3432	20	76	5
3433	21	44	4
3434	42	71	4
3435	84	97	6
3436	14	17	3
3437	58	59	3
3438	79	88	5
3439	26	97	5
3440	10	65	2
3441	29	70	5
3442	35	78	5
3443	24	51	2
3444	89	44	3
3445	50	35	6
3446	95	96	4
3447	26	35	6
3448	24	42	2
3449	12	13	5
3450	14	13	3
3451	65	28	3
3452	89	74	6
3453	53	68	4
3454	84	22	4
3455	44	87	2
3456	15	16	5
3457	49	56	4
3458	89	14	6
3459	39	74	5
3460	61	68	3
3461	82	13	4
3462	65	26	4
3463	61	56	2
3464	52	89	6
3465	92	98	6
3466	82	84	6
3467	64	78	2
3468	55	62	3
3469	68	27	5
3470	62	95	5
3471	29	86	2
3472	30	75	4
3473	60	43	5
3474	67	100	4
3475	64	25	4
3476	30	31	4
3477	76	86	2
3478	29	50	6
3479	47	96	2
3480	14	49	3
3481	99	94	5
3482	11	80	5
3483	78	78	2
3484	46	65	6
3485	61	40	2
3486	76	86	3
3487	78	29	5
3488	61	42	5
3489	22	15	3
3490	48	71	2
3491	13	88	3
3492	34	76	3
3493	19	92	5
3494	35	30	5
3495	83	72	2
3496	35	52	6
3497	72	98	6
3498	81	84	3
3499	64	22	4
3500	41	88	2
3501	62	87	2
3502	19	70	2
3503	50	38	6
3504	74	100	3
3505	65	20	6
3506	91	74	5
3507	60	45	5
3508	59	18	4
3509	34	91	6
3510	85	38	5
3511	56	93	5
3512	24	63	6
3513	10	22	6
3514	80	77	3
3515	17	24	4
3516	50	48	5
3517	28	54	5
3518	54	41	3
3519	93	48	4
3520	43	60	3
3521	23	56	4
3522	10	86	5
3523	72	90	2
3524	26	94	6
3525	82	18	6
3526	95	94	2
3527	62	60	4
3528	47	50	6
3529	81	88	2
3530	26	52	5
3531	90	27	3
3532	18	26	2
3533	39	22	2
3534	70	51	5
3535	43	32	5
3536	60	19	5
3537	72	87	6
3538	30	16	3
3539	39	82	3
3540	18	33	3
3541	64	79	3
3542	41	66	4
3543	54	37	6
3544	55	34	2
3545	93	80	5
3546	65	80	4
3547	65	74	4
3548	98	42	4
3549	84	52	2
3550	12	89	3
3551	10	39	6
3552	69	44	5
3553	48	30	2
3554	27	98	3
3555	40	27	6
3556	25	26	5
3557	48	54	4
3558	34	28	5
3559	16	14	2
3560	28	66	6
3561	48	59	5
3562	60	30	4
3563	68	43	6
3564	94	40	6
3565	85	68	4
3566	63	36	5
3567	15	100	5
3568	70	19	5
3569	75	94	6
3570	78	84	6
3571	62	39	2
3572	84	15	5
3573	34	70	5
3574	44	69	5
3575	38	27	4
3576	24	94	6
3577	16	95	6
3578	19	76	4
3579	39	94	2
3580	47	98	4
3581	82	67	6
3582	64	55	2
3583	72	28	2
3584	10	31	6
3585	100	25	6
3586	78	45	2
3587	32	49	5
3588	100	26	3
3589	66	10	3
3590	77	54	2
3591	28	13	3
3592	82	37	3
3593	28	78	4
3594	90	30	6
3595	32	97	3
3596	88	76	5
3597	60	70	5
3598	48	28	2
3599	30	65	2
3600	74	56	3
3601	49	90	5
3602	64	83	5
3603	49	70	6
3604	91	18	2
3605	21	30	2
3606	39	28	5
3607	76	47	3
3608	76	93	3
3609	74	77	6
3610	58	71	4
3611	70	17	3
3612	87	24	5
3613	61	74	5
3614	21	60	5
3615	62	93	4
3616	23	66	4
3617	32	67	6
3618	31	28	3
3619	74	77	5
3620	96	34	4
3621	61	54	5
3622	50	59	3
3623	80	100	5
3624	17	42	5
3625	95	96	5
3626	32	57	5
3627	53	52	5
3628	46	61	4
3629	87	26	2
3630	95	44	5
3631	29	22	2
3632	90	77	6
3633	37	32	2
3634	98	72	4
3635	66	15	3
3636	26	45	2
3637	84	15	5
3638	10	17	3
3639	18	97	6
3640	65	52	4
3641	67	56	2
3642	38	58	6
3643	68	91	6
3644	77	36	4
3645	80	85	6
3646	13	22	5
3647	90	35	2
3648	20	48	2
3649	46	68	5
3650	88	80	2
3651	37	98	5
3652	36	31	3
3653	78	53	2
3654	52	53	3
3655	63	18	2
3656	42	59	4
3657	95	10	4
3658	39	68	6
3659	73	78	6
3660	79	78	3
3661	88	33	2
3662	78	55	5
3663	66	93	2
3664	14	77	6
3665	10	36	2
3666	70	17	6
3667	64	18	3
3668	75	46	3
3669	89	82	5
3670	67	94	3
3671	90	41	2
3672	66	60	3
3673	52	73	3
3674	39	68	5
3675	60	41	6
3676	24	24	2
3677	96	75	4
3678	76	86	3
3679	20	21	5
3680	28	13	3
3681	26	73	4
3682	74	22	2
3683	28	83	4
3684	82	29	3
3685	22	26	3
3686	25	76	2
3687	65	88	5
3688	44	32	6
3689	70	75	3
3690	56	30	6
3691	84	77	6
3692	57	24	5
3693	68	31	4
3694	72	41	3
3695	58	68	6
3696	46	82	4
3697	64	79	4
3698	100	41	2
3699	77	10	4
3700	41	48	2
3701	68	65	2
3702	94	75	5
3703	92	80	2
3704	56	100	5
3705	63	46	5
3706	70	47	3
3707	18	76	3
3708	34	85	5
3709	46	89	2
3710	52	72	4
3711	92	77	6
3712	74	41	5
3713	58	93	3
3714	69	88	2
3715	28	81	5
3716	93	76	3
3717	97	16	6
3718	55	46	2
3719	26	64	2
3720	33	44	3
3721	83	76	3
3722	58	61	6
3723	40	61	4
3724	55	34	4
3725	93	62	6
3726	72	45	6
3727	90	11	3
3728	49	74	4
3729	91	92	5
3730	44	51	3
3731	36	20	6
3732	32	13	5
3733	15	88	2
3734	29	32	5
3735	59	46	4
3736	57	48	2
3737	48	85	5
3738	52	60	6
3739	91	68	5
3740	54	81	5
3741	49	50	4
3742	32	27	5
3743	69	60	2
3744	43	48	6
3745	52	95	3
3746	71	94	5
3747	10	53	2
3748	33	18	5
3749	44	65	4
3750	15	82	2
3751	72	85	3
3752	20	10	3
3753	11	34	4
3754	52	22	5
3755	15	44	3
3756	59	70	3
3757	80	59	4
3758	22	17	5
3759	52	54	2
3760	12	41	2
3761	50	88	4
3762	32	55	3
3763	79	64	3
3764	32	96	6
3765	42	73	5
3766	42	55	4
3767	58	45	6
3768	64	32	6
3769	26	85	4
3770	56	54	6
3771	53	18	4
3772	87	84	6
3773	23	44	2
3774	42	61	6
3775	93	16	5
3776	13	20	3
3777	56	65	5
3778	78	35	3
3779	56	35	6
3780	73	24	2
3781	90	25	3
3782	10	23	2
3783	14	61	3
3784	91	92	3
3785	72	68	3
3786	12	91	3
3787	77	88	2
3788	89	46	6
3789	76	88	6
3790	66	38	5
3791	30	40	2
3792	76	26	3
3793	83	64	3
3794	62	99	2
3795	30	95	4
3796	20	79	3
3797	85	94	4
3798	89	94	3
3799	49	44	4
3800	84	47	6
3801	100	11	5
3802	44	67	6
3803	92	71	4
3804	54	79	3
3805	33	98	5
3806	43	84	6
3807	17	84	4
3808	96	57	2
3809	22	79	3
3810	14	89	5
3811	96	49	3
3812	29	82	4
3813	33	26	3
3814	89	48	5
3815	67	80	6
3816	24	55	6
3817	22	50	2
3818	46	29	2
3819	62	42	6
3820	48	67	4
3821	63	40	2
3822	53	72	2
3823	64	47	6
3824	63	20	6
3825	65	94	5
3826	96	55	5
3827	32	41	3
3828	51	38	5
3829	16	31	6
3830	53	30	5
3831	51	30	5
3832	92	87	5
3833	65	68	4
3834	56	97	5
3835	68	42	4
3836	34	31	2
3837	95	54	6
3838	54	64	3
3839	60	44	6
3840	40	28	6
3841	75	52	5
3842	42	55	4
3843	12	86	5
3844	52	73	5
3845	16	62	4
3846	37	96	4
3847	16	88	4
3848	27	44	6
3849	77	40	3
3850	26	95	2
3851	100	71	5
3852	82	74	2
3853	96	47	2
3854	63	48	5
3855	31	14	3
3856	91	34	4
3857	69	68	2
3858	52	83	6
3859	42	89	6
3860	60	71	4
3861	52	43	4
3862	26	45	3
3863	78	71	5
3864	18	21	4
3865	45	54	4
3866	60	55	2
3867	76	46	3
3868	76	68	2
3869	23	22	5
3870	100	76	5
3871	58	82	2
3872	100	33	4
3873	99	60	6
3874	74	83	4
3875	85	42	2
3876	27	20	3
3877	18	97	3
3878	85	10	4
3879	62	72	4
3880	63	44	5
3881	79	12	2
3882	13	60	5
3883	52	81	6
3884	53	22	6
3885	54	89	4
3886	63	16	4
3887	10	13	5
3888	41	18	3
3889	20	28	4
3890	34	27	6
3891	29	16	2
3892	41	96	4
3893	72	99	2
3894	87	22	4
3895	79	42	2
3896	70	91	6
3897	25	46	6
3898	46	60	4
3899	30	90	5
3900	68	71	5
3901	23	62	4
3902	86	10	5
3903	51	12	5
3904	86	58	2
3905	22	15	4
3906	37	52	6
3907	80	12	4
3908	96	77	6
3909	52	93	5
3910	32	41	2
3911	34	78	3
3912	62	84	5
3913	82	58	3
3914	97	78	4
3915	94	41	3
3916	62	32	4
3917	26	79	3
3918	44	36	4
3919	54	47	3
3920	33	32	2
3921	22	27	2
3922	98	23	5
3923	40	55	3
3924	50	69	5
3925	29	66	3
3926	58	77	5
3927	62	16	5
3928	90	27	5
3929	94	45	4
3930	68	74	2
3931	72	88	5
3932	83	48	2
3933	100	16	2
3934	96	73	4
3935	56	13	2
3936	42	51	4
3937	70	97	4
3938	40	20	2
3939	22	21	6
3940	16	24	6
3941	64	59	4
3942	88	38	5
3943	65	26	3
3944	90	29	5
3945	67	82	3
3946	33	76	4
3947	84	45	2
3948	96	21	5
3949	81	22	5
3950	57	64	3
3951	61	60	6
3952	61	70	5
3953	10	86	3
3954	99	12	5
3955	38	61	6
3956	92	100	4
3957	19	46	3
3958	55	68	5
3959	96	54	5
3960	80	56	6
3961	11	52	6
3962	55	96	6
3963	73	28	2
3964	23	82	6
3965	46	42	3
3966	98	53	5
3967	64	91	2
3968	72	26	3
3969	80	75	5
3970	19	24	5
3971	94	23	6
3972	40	31	5
3973	60	94	6
3974	100	17	2
3975	30	44	6
3976	94	31	5
3977	86	35	6
3978	29	66	4
3979	28	99	6
3980	10	29	5
3981	33	70	4
3982	72	60	5
3983	50	31	4
3984	86	41	2
3985	84	90	2
3986	81	44	6
3987	72	49	4
3988	34	87	6
3989	78	81	5
3990	70	88	5
3991	64	42	2
3992	21	80	4
3993	88	78	4
3994	64	17	3
3995	51	72	4
3996	36	43	2
3997	58	29	4
3998	56	89	3
3999	12	79	5
4000	38	17	4
4001	15	76	2
4002	20	66	6
4003	19	58	6
4004	75	58	3
4005	73	66	5
4006	79	20	6
4007	14	35	5
4008	50	33	3
4009	15	16	4
4010	80	33	3
4011	74	97	3
4012	95	22	3
4013	93	18	4
4014	83	52	2
4015	13	54	3
4016	78	71	5
4017	23	40	2
4018	40	85	4
4019	23	94	2
4020	25	88	2
4021	82	60	2
4022	62	25	2
4023	45	40	2
4024	41	38	3
4025	60	64	5
4026	55	50	3
4027	99	98	6
4028	34	96	2
4029	74	91	4
4030	71	92	3
4031	48	22	4
4032	47	58	3
4033	90	95	3
4034	78	17	5
4035	74	81	6
4036	64	48	2
4037	41	10	5
4038	42	30	6
4039	56	54	3
4040	58	31	6
4041	82	20	6
4042	86	19	5
4043	64	37	5
4044	77	50	5
4045	36	63	5
4046	65	74	6
4047	24	35	3
4048	46	31	2
4049	45	58	2
4050	94	20	4
4051	95	28	4
4052	13	86	4
4053	82	41	2
4054	61	48	5
4055	21	84	4
4056	72	63	4
4057	45	52	3
4058	20	27	6
4059	56	24	2
4060	91	88	6
4061	27	64	5
4062	38	29	2
4063	14	37	4
4064	68	88	6
4065	22	25	4
4066	22	96	6
4067	99	66	4
4068	51	10	6
4069	72	32	2
4070	81	26	3
4071	12	53	3
4072	91	24	3
4073	63	48	5
4074	63	50	2
4075	47	34	4
4076	100	46	4
4077	97	60	4
4078	67	70	3
4079	78	92	5
4080	39	80	6
4081	30	39	4
4082	91	56	2
4083	65	78	4
4084	68	82	4
4085	43	64	4
4086	70	57	3
4087	87	12	3
4088	19	30	4
4089	40	26	5
4090	25	94	2
4091	84	13	5
4092	95	96	6
4093	82	24	3
4094	32	39	4
4095	70	71	6
4096	79	90	3
4097	65	82	4
4098	49	12	2
4099	50	67	3
4100	31	58	6
4101	29	32	3
4102	79	62	3
4103	84	67	4
4104	72	14	2
4105	22	82	5
4106	91	10	5
4107	15	84	2
4108	77	80	2
4109	75	40	3
4110	82	63	4
4111	11	80	2
4112	56	64	2
4113	82	40	5
4114	38	74	4
4115	54	41	2
4116	54	93	3
4117	45	46	4
4118	46	58	5
4119	11	94	3
4120	69	38	3
4121	36	94	5
4122	56	53	4
4123	68	28	4
4124	31	40	4
4125	72	29	5
4126	70	67	5
4127	13	66	2
4128	74	73	3
4129	22	56	3
4130	18	27	2
4131	73	24	6
4132	12	77	5
4133	69	68	5
4134	42	88	6
4135	34	61	3
4136	93	42	6
4137	69	54	4
4138	93	88	4
4139	43	96	3
4140	88	67	2
4141	29	42	6
4142	52	75	5
4143	83	26	5
4144	84	74	3
4145	37	54	5
4146	55	12	2
4147	66	22	6
4148	50	34	4
4149	49	36	3
4150	24	95	6
4151	96	75	3
4152	44	77	5
4153	14	37	3
4154	28	87	3
4155	31	68	3
4156	26	37	3
4157	82	56	2
4158	80	11	5
4159	41	42	3
4160	58	98	5
4161	55	68	5
4162	72	68	3
4163	39	32	4
4164	62	60	2
4165	12	13	6
4166	38	50	6
4167	27	52	5
4168	86	46	5
4169	91	96	2
4170	37	26	5
4171	13	40	6
4172	17	48	3
4173	25	58	4
4174	42	19	2
4175	82	87	3
4176	18	92	2
4177	58	41	2
4178	34	60	2
4179	24	53	4
4180	29	60	4
4181	80	59	3
4182	86	24	3
4183	24	14	6
4184	85	70	5
4185	17	10	5
4186	99	80	2
4187	60	44	6
4188	85	88	4
4189	100	93	3
4190	100	11	2
4191	12	18	5
4192	53	82	2
4193	93	22	6
4194	44	12	5
4195	91	86	4
4196	46	69	4
4197	46	92	2
4198	54	98	2
4199	71	98	3
4200	70	12	6
4201	47	20	4
4202	82	24	6
4203	79	88	6
4204	76	68	4
4205	53	40	5
4206	38	92	2
4207	39	94	3
4208	96	11	6
4209	95	16	3
4210	87	60	3
4211	97	36	2
4212	53	90	2
4213	36	66	2
4214	98	67	4
4215	73	34	5
4216	46	44	6
4217	60	57	6
4218	78	99	4
4219	74	26	6
4220	44	70	6
4221	63	56	5
4222	59	40	6
4223	28	70	4
4224	95	60	4
4225	81	100	3
4226	54	33	6
4227	100	50	6
4228	68	72	6
4229	84	37	3
4230	50	44	6
4231	71	64	3
4232	12	42	5
4233	32	39	6
4234	63	54	5
4235	70	83	4
4236	100	34	2
4237	36	87	6
4238	29	24	4
4239	26	25	6
4240	93	44	4
4241	22	90	2
4242	60	33	6
4243	28	87	4
4244	29	72	3
4245	49	98	4
4246	36	36	5
4247	97	90	5
4248	27	78	6
4249	10	25	6
4250	36	19	4
4251	24	45	5
4252	32	86	3
4253	35	26	5
4254	74	17	6
4255	42	55	3
4256	38	12	2
4257	94	42	6
4258	27	90	4
4259	52	10	2
4260	56	84	6
4261	68	62	5
4262	41	58	2
4263	77	30	4
4264	85	86	2
4265	88	83	2
4266	41	76	3
4267	30	79	3
4268	19	42	5
4269	61	90	4
4270	92	42	6
4271	76	43	6
4272	85	22	4
4273	78	66	3
4274	38	41	3
4275	40	34	4
4276	67	22	4
4277	27	32	6
4278	16	29	2
4279	32	10	4
4280	26	49	2
4281	87	84	2
4282	48	91	3
4283	96	66	4
4284	98	47	4
4285	43	66	2
4286	90	65	4
4287	97	10	5
4288	29	52	2
4289	35	94	4
4290	33	44	3
4291	30	67	6
4292	61	14	5
4293	58	50	5
4294	100	15	4
4295	66	44	2
4296	46	62	2
4297	17	34	5
4298	43	92	4
4299	91	58	6
4300	96	43	6
4301	27	66	5
4302	42	62	4
4303	14	70	2
4304	65	74	2
4305	80	65	3
4306	45	10	3
4307	52	96	5
4308	91	16	6
4309	93	36	3
4310	100	51	5
4311	58	91	3
4312	38	27	2
4313	48	62	2
4314	75	20	4
4315	54	56	3
4316	18	78	5
4317	90	16	6
4318	54	89	4
4319	92	44	2
4320	22	56	6
4321	31	70	2
4322	25	20	4
4323	18	96	4
4324	56	11	2
4325	64	81	5
4326	35	44	2
4327	64	44	6
4328	19	32	6
4329	24	55	2
4330	64	90	6
4331	94	23	5
4332	66	77	3
4333	34	21	2
4334	50	23	2
4335	21	64	3
4336	22	88	6
4337	92	92	6
4338	52	54	2
4339	98	43	5
4340	60	66	5
4341	86	29	6
4342	37	64	4
4343	61	100	4
4344	33	52	6
4345	83	88	3
4346	75	20	6
4347	79	100	2
4348	44	55	4
4349	46	72	3
4350	89	88	4
4351	87	56	5
4352	25	80	2
4353	83	42	2
4354	47	38	5
4355	78	31	6
4356	59	44	3
4357	29	32	4
4358	88	13	6
4359	56	51	4
4360	60	46	5
4361	15	64	4
4362	48	98	5
4363	78	73	3
4364	81	68	4
4365	10	65	5
4366	79	10	5
4367	27	22	6
4368	47	34	5
4369	20	17	2
4370	97	54	5
4371	90	46	2
4372	36	75	2
4373	50	51	5
4374	65	70	6
4375	72	34	2
4376	100	100	5
4377	37	90	6
4378	38	50	2
4379	33	28	4
4380	16	21	4
4381	18	63	4
4382	23	28	2
4383	49	58	5
4384	61	46	2
4385	56	83	6
4386	25	92	2
4387	98	12	5
4388	60	57	4
4389	14	69	4
4390	79	54	6
4391	75	88	4
4392	68	57	2
4393	36	77	3
4394	17	26	5
4395	64	85	6
4396	39	66	2
4397	20	31	6
4398	32	30	4
4399	32	40	5
4400	88	33	3
4401	75	38	4
4402	78	70	2
4403	77	40	5
4404	79	34	3
4405	88	98	2
4406	85	76	6
4407	73	44	3
4408	40	46	2
4409	73	98	2
4410	15	82	5
4411	42	70	6
4412	65	50	4
4413	100	85	2
4414	80	87	6
4415	58	59	3
4416	10	23	5
4417	84	29	5
4418	14	65	2
4419	34	87	4
4420	92	95	5
4421	100	95	4
4422	76	40	2
4423	31	32	4
4424	67	66	2
4425	25	66	2
4426	83	46	3
4427	12	57	2
4428	41	12	5
4429	73	32	5
4430	98	79	4
4431	81	20	5
4432	65	80	2
4433	13	92	4
4434	31	30	5
4435	54	11	3
4436	95	44	4
4437	28	43	5
4438	98	25	2
4439	52	90	5
4440	34	59	3
4441	15	78	6
4442	26	65	3
4443	52	17	5
4444	84	28	6
4445	74	81	6
4446	74	15	6
4447	100	27	6
4448	25	88	4
4449	87	34	3
4450	66	76	2
4451	20	72	6
4452	28	44	5
4453	24	91	6
4454	50	21	6
4455	89	60	3
4456	46	91	3
4457	87	92	4
4458	27	20	6
4459	18	85	6
4460	85	14	3
4461	22	55	6
4462	98	36	4
4463	51	98	5
4464	54	95	6
4465	69	50	5
4466	12	93	6
4467	56	67	3
4468	33	70	2
4469	72	55	6
4470	56	35	5
4471	36	96	2
4472	46	61	3
4473	25	34	4
4474	94	35	5
4475	82	23	6
4476	26	71	6
4477	37	42	3
4478	64	55	6
4479	73	16	3
4480	82	32	5
4481	83	82	2
4482	92	58	4
4483	40	87	6
4484	68	46	4
4485	84	91	5
4486	44	86	2
4487	67	30	4
4488	50	29	6
4489	68	99	4
4490	88	13	5
4491	48	23	2
4492	62	32	4
4493	54	98	2
4494	55	74	3
4495	93	72	6
4496	98	41	2
4497	30	21	2
4498	53	52	6
4499	68	57	5
4500	16	18	4
4501	31	62	3
4502	24	22	2
4503	99	32	2
4504	90	89	3
4505	19	58	4
4506	73	46	3
4507	90	85	2
4508	91	16	3
4509	14	46	6
4510	37	18	5
4511	20	96	3
4512	69	32	4
4513	61	68	6
4514	32	79	3
4515	65	14	6
4516	36	16	5
4517	23	94	6
4518	16	25	2
4519	67	18	4
4520	21	44	6
4521	94	98	5
4522	68	16	3
4523	22	46	2
4524	69	76	2
4525	60	57	6
4526	29	10	2
4527	74	60	2
4528	33	82	4
4529	40	21	6
4530	50	42	2
4531	18	73	2
4532	26	13	3
4533	40	21	2
4534	70	62	3
4535	14	85	6
4536	73	60	5
4537	58	16	3
4538	26	63	2
4539	16	22	2
4540	64	33	6
4541	78	30	5
4542	26	71	6
4543	95	40	4
4544	28	82	2
4545	20	31	3
4546	64	15	6
4547	60	53	3
4548	54	83	6
4549	94	49	4
4550	98	65	3
4551	16	73	4
4552	39	100	6
4553	11	64	2
4554	70	18	4
4555	88	91	2
4556	12	10	5
4557	16	23	5
4558	73	82	5
4559	45	60	5
4560	44	13	5
4561	97	64	6
4562	12	25	5
4563	14	36	6
4564	31	36	4
4565	44	92	3
4566	40	70	5
4567	60	71	5
4568	26	93	6
4569	77	42	5
4570	34	29	2
4571	15	68	2
4572	26	52	3
4573	78	39	3
4574	65	14	3
4575	18	40	2
4576	49	50	3
4577	11	20	6
4578	86	33	2
4579	19	28	3
4580	36	54	5
4581	38	55	6
4582	11	66	4
4583	41	20	3
4584	16	48	3
4585	50	47	4
4586	22	71	3
4587	88	31	6
4588	66	37	6
4589	27	34	4
4590	68	24	3
4591	57	70	6
4592	19	18	6
4593	48	21	3
4594	57	16	5
4595	41	88	6
4596	51	18	5
4597	85	86	6
4598	20	43	6
4599	76	22	2
4600	15	46	3
4601	71	86	3
4602	13	50	4
4603	54	90	4
4604	23	16	2
4605	82	96	6
4606	56	77	5
4607	66	22	6
4608	74	81	6
4609	20	61	6
4610	70	86	2
4611	95	40	6
4612	12	89	3
4613	83	66	3
4614	76	49	5
4615	68	72	5
4616	93	94	6
4617	71	22	4
4618	53	68	3
4619	54	87	5
4620	80	14	4
4621	44	22	6
4622	55	14	5
4623	66	74	5
4624	92	43	4
4625	27	92	5
4626	35	28	6
4627	70	55	5
4628	75	76	2
4629	62	13	6
4630	22	69	6
4631	44	76	2
4632	84	69	3
4633	55	98	4
4634	81	18	2
4635	57	30	5
4636	62	92	2
4637	23	76	2
4638	28	55	4
4639	75	46	2
4640	51	16	3
4641	67	88	4
4642	64	51	3
4643	34	81	3
4644	65	84	5
4645	45	92	2
4646	86	75	3
4647	29	58	6
4648	31	44	3
4649	74	77	3
4650	14	62	3
4651	64	85	5
4652	96	10	4
4653	30	74	6
4654	53	94	2
4655	20	10	3
4656	22	33	4
4657	62	49	3
4658	42	41	6
4659	60	93	5
4660	48	74	5
4661	36	75	6
4662	66	27	4
4663	29	20	2
4664	62	84	5
4665	44	18	5
4666	70	31	4
4667	38	55	4
4668	68	22	3
4669	33	30	5
4670	44	22	3
4671	84	94	4
4672	20	52	5
4673	58	16	5
4674	88	18	4
4675	76	61	3
4676	50	80	3
4677	25	92	5
4678	59	54	2
4679	96	57	5
4680	77	30	2
4681	92	38	4
4682	67	62	5
4683	46	47	2
4684	60	19	4
4685	55	24	6
4686	98	73	2
4687	60	66	3
4688	87	54	2
4689	100	95	5
4690	98	15	6
4691	23	68	6
4692	96	79	2
4693	73	92	2
4694	22	17	2
4695	35	28	6
4696	51	30	4
4697	66	73	5
4698	93	78	6
4699	96	35	3
4700	72	85	5
4701	36	63	5
4702	11	28	6
4703	92	53	4
4704	24	96	3
4705	64	10	4
4706	40	61	5
4707	90	35	4
4708	97	90	6
4709	47	98	6
4710	17	46	5
4711	14	87	5
4712	78	12	6
4713	48	18	2
4714	36	44	4
4715	68	80	5
4716	61	28	6
4717	26	44	3
4718	74	29	5
4719	79	62	3
4720	30	82	5
4721	99	24	4
4722	81	68	6
4723	21	36	3
4724	78	33	2
4725	36	47	4
4726	61	88	3
4727	98	30	4
4728	59	30	3
4729	56	38	2
4730	29	84	3
4731	52	80	6
4732	34	68	5
4733	36	33	5
4734	48	97	4
4735	61	86	6
4736	14	21	4
4737	99	44	2
4738	28	26	2
4739	70	28	5
4740	34	71	2
4741	56	95	6
4742	21	92	3
4743	19	12	6
4744	76	52	5
4745	65	48	4
4746	63	60	4
4747	56	18	4
4748	20	39	6
4749	14	29	5
4750	74	91	4
4751	31	22	6
4752	49	44	6
4753	100	35	2
4754	70	10	5
4755	14	35	3
4756	76	43	3
4757	13	86	4
4758	85	34	6
4759	53	22	5
4760	62	33	6
4761	73	78	5
4762	96	85	2
4763	60	34	5
4764	87	54	2
4765	55	22	3
4766	70	61	3
4767	68	77	2
4768	92	22	5
4769	52	49	3
4770	49	80	3
4771	38	82	2
4772	43	64	5
